,Year,Quarter,First,Second
95,1989.0,1.0,9.7029,8.6944
96,1989.0,2.0,6.5545,7.2865
97,1989.0,3.0,5.6126,6.07
98,1989.0,4.0,4.3096,4.3565
99,1990.0,1.0,7.7826,7.0082
100,1990.0,2.0,5.792,5.8153
101,1990.0,3.0,5.328,5.8025
102,1990.0,4.0,0.3123,0.4869
103,1991.0,1.0,2.557,2.5128
104,1991.0,2.0,4.597,4.2476
105,1991.0,3.0,4.2276,3.9346
106,1991.0,4.0,1.9336,2.6533
107,1992.0,1.0,4.9394,5.5331
108,1992.0,2.0,3.7079,4.0603
109,1992.0,3.0,4.4714,5.5541
110,1992.0,4.0,5.6978,7.1138
111,1993.0,1.0,5.1613,4.4256
112,1993.0,2.0,4.0364,4.1581
113,1993.0,3.0,4.4141,4.3032
114,1993.0,4.0,7.3818,8.8139
115,1994.0,1.0,5.1785,5.7014
116,1994.0,2.0,6.7918,6.9133
117,1994.0,3.0,5.2421,5.9022
118,1994.0,4.0,5.984,5.7995
119,1995.0,1.0,5.0635,4.8711
120,1995.0,2.0,1.9867,2.751
121,1995.0,3.0,4.8187,4.8187
122,1995.0,4.0,2.7462,2.7462
123,1996.0,1.0,5.0123,4.4875
124,1996.0,2.0,6.1306,6.6666
125,1996.0,3.0,3.812,3.5832
126,1996.0,4.0,6.1998,5.3071
127,1997.0,1.0,8.0002,8.0935
128,1997.0,2.0,3.6384,5.2218
129,1997.0,3.0,4.9381,4.7885
130,1997.0,4.0,5.8964,5.3987
131,1998.0,1.0,5.1934,5.8362
132,1998.0,2.0,2.2855,2.4554
133,1998.0,3.0,4.1334,4.7257
134,1998.0,4.0,6.4714,6.8254
135,1999.0,1.0,5.967,5.5729
136,1999.0,2.0,3.8974,3.3656
137,1999.0,3.0,5.8124,6.6819
138,1999.0,4.0,7.9397,9.0602
139,2000.0,1.0,8.2049,8.2228
140,2000.0,2.0,7.7889,8.0321
141,2000.0,3.0,4.8142,4.3525
142,2000.0,4.0,3.4544,2.9567
143,2001.0,1.0,5.2083,4.6261
144,2001.0,2.0,3.0274,2.3835
145,2001.0,3.0,1.7799,1.0667
146,2001.0,4.0,-0.129,1.1117
147,2002.0,1.0,6.7101,6.6079
148,2002.0,2.0,2.2213,2.2647
149,2002.0,3.0,4.2763,4.9781
150,2002.0,4.0,2.5405,3.0847
151,2003.0,1.0,4.1777,4.4311
152,2003.0,2.0,3.3687,4.007
153,2003.0,3.0,9.0173,9.0173
154,2003.0,4.0,5.1118,5.3363
155,2004.0,1.0,6.7643,7.2052
156,2004.0,2.0,6.3046,6.0784
157,2004.0,3.0,5.1046,5.3363
158,2004.0,4.0,5.2497,6.0223
159,2005.0,1.0,6.4148,6.7296
160,2005.0,2.0,5.9451,5.839
161,2005.0,3.0,7.0153,7.4034
162,2005.0,4.0,4.1763,5.0
163,2006.0,1.0,8.2259,8.7755
164,2006.0,2.0,5.8272,6.335
165,2006.0,3.0,3.407,3.9926
166,2006.0,4.0,5.0343,3.8772
167,2007.0,1.0,5.2851,4.6809
168,2007.0,2.0,6.1586,6.7402
169,2007.0,3.0,4.6667,5.8926
170,2007.0,4.0,3.1957,3.2925
171,2008.0,1.0,3.1922,3.4952
172,2008.0,2.0,3.0215,4.6497
173,2008.0,3.0,3.8229,3.5727
174,2008.0,4.0,-4.05,-5.7684
175,2009.0,1.0,-3.4693,-3.0792
176,2009.0,2.0,-0.7932,-0.9754
177,2009.0,3.0,4.3166,3.2933
178,2009.0,4.0,6.3617,6.3118
179,2010.0,1.0,4.1477,4.1477
180,2010.0,2.0,4.2556,3.6086
181,2010.0,3.0,4.222,4.7892
182,2010.0,4.0,3.4427,3.1814
183,2011.0,1.0,3.6809,3.7887
184,2011.0,2.0,3.7094,3.516
185,2011.0,3.0,5.0431,4.5546
186,2011.0,4.0,3.152,3.8688
187,2012.0,1.0,3.7703,3.5611
188,2012.0,2.0,3.0739,3.3438
189,2012.0,3.0,4.9689,5.5476
190,2012.0,4.0,0.4562,1.0209
191,2013.0,1.0,3.735,3.5873
192,2013.0,2.0,2.3943,3.2465
193,2013.0,3.0,4.8042,5.6323
194,2013.0,4.0,4.5601,4.028
195,2014.0,1.0,1.4118,0.2741
196,2014.0,2.0,6.0147,6.4223
197,2014.0,3.0,4.8694,5.3439
198,2014.0,4.0,2.5444,2.3269
199,2015.0,1.0,0.1424,-0.8715
200,2015.0,2.0,4.4042,5.8513
201,2015.0,3.0,2.7316,3.4146
202,2015.0,4.0,1.5146,1.9678
203,2016.0,1.0,1.2455,1.4324
204,2016.0,2.0,3.4572,3.4325
205,2016.0,3.0,4.4317,4.5818
206,2016.0,4.0,4.0328,3.9159
207,2017.0,1.0,2.9555,3.396
