,YEAR,QUARTER,DNGDP2_mean,DNGDP3_mean,DNGDP4_mean,DNGDP5_mean,DNGDP6_mean,DNGDP2_median,DNGDP3_median,DNGDP4_median,DNGDP5_median,DNGDP6_median,RGDP2_mean,RGDP3_mean,RGDP4_mean,RGDP5_mean,RGDP6_mean,RGDP2_median,RGDP3_median,RGDP4_median,RGDP5_median,RGDP6_median
81,1989,1,8.405,6.8171,6.336,5.9378,5.9851,8.6009,6.3492,6.493,5.6735,6.2604,4070.375,4090.75,4110.75,4125.3125,4138.0,4074.0,4095.0,4115.0,4126.0,4140.0
82,1989,2,7.0945,6.3669,6.2514,6.2562,6.3195,6.4838,6.1388,5.6504,6.1962,6.2173,4106.8235,4125.9412,4142.6471,4163.8235,4177.25,4103.0,4119.0,4131.0,4153.0,4165.5
83,1989,3,5.9025,6.1218,6.6899,4.9941,8.8448,5.8207,5.7768,6.6341,7.1452,6.3737,4143.5133,4161.8867,4182.7333,4205.5533,4231.0267,4140.0,4160.0,4170.0,4186.0,4226.9
84,1989,4,5.3374,5.5528,6.1549,6.2088,7.53,5.1014,5.8167,6.8934,6.6241,7.5696,4171.5,4187.25,4205.8125,4229.0,4258.0625,4169.5,4187.5,4204.0,4228.5,4253.0
85,1990,1,5.4898,5.955,6.494,6.8959,6.8585,5.2726,5.5503,6.0454,7.5418,7.0302,4184.7857,4205.4286,4227.2143,4253.0714,4278.0,4181.5,4201.5,4226.5,4254.5,4278.0
86,1990,2,6.4887,6.0928,5.9309,5.9635,5.7376,5.782,6.0023,6.4366,6.5558,6.3051,4212.9778,4236.9778,4254.8111,4280.0,4304.6778,4213.0,4239.0,4259.0,4290.0,4318.0
87,1990,3,5.3871,5.1524,5.3983,5.2148,6.2919,5.3117,5.1669,6.5186,3.7836,6.317,4175.8462,4183.6,4200.6538,4218.8,4243.4083,4178.0,4186.0,4194.2,4202.5,4227.95
88,1990,4,3.6876,3.9106,4.1339,5.5859,6.1359,3.6023,3.607,4.0145,5.656,6.4462,4161.1333,4150.8167,4151.6633,4169.72,4193.8633,4159.55,4150.0,4151.5,4165.0,4190.5
89,1991,1,2.6449,3.7574,5.3502,6.1133,6.2786,2.4133,3.3555,6.2133,6.133,6.7451,4127.2829,4127.9629,4147.22,4174.7971,4205.16,4128.0,4130.0,4147.0,4177.0,4210.15
90,1991,2,3.2105,5.6688,6.2067,6.6882,6.1035,3.1984,5.3596,6.476,6.5763,6.1984,4123.0786,4144.1119,4172.2667,4202.2154,4231.3615,4122.0,4141.0,4169.85,4201.0,4233.4
