,Year,Quarter,Third
94,1989,1,8.1843
95,1989,2,7.1135
96,1989,3,6.2389
97,1989,4,4.56
98,1990,1,7.1422
99,1990,2,5.1492
100,1990,3,5.3433
101,1990,4,0.9244
102,1991,1,2.2182
103,1991,2,3.9954
104,1991,3,4.0658
105,1991,4,2.1541
106,1992,1,5.7582
107,1992,2,4.3145
108,1992,3,5.2721
109,1992,4,7.0926
110,1993,1,4.2762
111,1993,2,4.2833
112,1993,3,4.388
113,1993,4,8.4213
114,1994,1,6.0532
115,1994,2,7.1951
116,1994,3,6.2271
117,1994,4,6.3597
118,1995,1,4.7329
119,1995,2,3.0497
120,1995,3,5.7157
121,1995,4,2.3162
122,1996,1,4.2849
123,1996,2,6.5254
124,1996,3,3.8284
125,1996,4,5.3453
126,1997,1,8.275
127,1997,2,5.1746
128,1997,3,4.5566
129,1997,4,5.1736
130,1998,1,6.5686
131,1998,2,2.718
132,1998,3,4.6914
133,1998,4,6.8845
134,1999,1,6.0055
135,1999,2,2.9705
136,1999,3,6.7967
137,1999,4,9.3497
138,2000,1,8.643
139,2000,2,8.1538
140,2000,3,3.8221
141,2000,4,3.0219
142,2001,1,4.5198
143,2001,2,2.4237
144,2001,3,0.8772
145,2001,4,1.5107
146,2002,1,7.4692
147,2002,2,2.4976
148,2002,3,5.0781
149,2002,4,3.1821
150,2003,1,3.8159
151,2003,2,4.3466
152,2003,3,9.9503
153,2003,4,5.7
154,2004,1,6.8912
155,2004,2,6.6042
156,2004,3,5.5112
157,2004,4,6.2311
158,2005,1,6.7296
159,2005,2,6.0067
160,2005,3,7.5638
161,2005,4,5.1877
162,2006,1,8.9391
163,2006,2,5.9363
164,2006,3,3.8522
165,2006,4,4.1339
166,2007,1,4.9025
167,2007,2,6.5574
168,2007,3,5.9896
169,2007,4,3.0023
170,2008,1,3.6557
171,2008,2,4.1243
172,2008,3,3.3517
173,2008,4,-5.7684
174,2009,1,-2.8727
175,2009,2,-0.754
176,2009,3,2.5943
177,2009,4,6.0796
178,2010,1,3.8912
179,2010,2,3.7138
180,2010,3,4.6443
181,2010,4,3.4705
182,2011,1,4.0046
183,2011,2,3.9585
184,2011,3,4.4225
185,2011,4,3.8308
186,2012,1,3.9315
187,2012,2,2.8019
188,2012,3,5.9115
189,2012,4,1.3502
190,2013,1,3.0602
191,2013,2,3.0756
192,2013,3,6.1862
193,2013,4,4.245
194,2014,1,-1.7116
195,2014,2,6.8385
196,2014,3,6.4185
197,2014,4,2.3824
198,2015,1,-0.2348
199,2015,2,6.1283
200,2015,3,3.3116
201,2015,4,2.3369
202,2016,1,1.4457
203,2016,2,3.7381
204,2016,3,4.9725
205,2016,4,4.2226
206,2017,1,3.3851
207,2017,2,4.0977
208,2017,3,5.3098
209,2017,4,5.3021
210,2018,1,4.237
211,2018,2,7.6109
212,2018,3,4.9147
213,2018,4,4.0667
214,2019,1,3.791
215,2019,2,4.6577
216,2019,3,3.8442
217,2019,4,3.5101
218,2020,1,-3.4412
219,2020,2,-32.8193
220,2020,3,38.3502
221,2020,4,6.2717
222,2021,1,10.9723
223,2021,2,13.3793
224,2021,3,8.3642
225,2021,4,14.5311
226,2022,1,6.5527
227,2022,2,8.4697
228,2022,3,7.7469
229,2022,4,6.5963
